 movie_id | member_id 
----------+-----------
        6 |         4
        8 |         4
        9 |         4
       10 |         4
       11 |         4
       12 |         4
       13 |         5
       22 |         9
       24 |        11
     1427 |        11
     1524 |        11
     2594 |        11
     4996 |        11
     6007 |        11
     6009 |        11
       25 |        12
       26 |        12
       27 |        12
       29 |        12
       30 |        12
     2808 |        12
       31 |        13
     1156 |        13
     3987 |        13
     4865 |        13
     5722 |        13
       32 |        14
       33 |        15
       45 |        20
       46 |        20
     4204 |        20
     5894 |        20
       47 |        21
       48 |        21
       49 |        21
     3547 |        22
       54 |        23
       57 |        23
     1437 |        24
     5199 |        24
       59 |        25
       61 |        25
     2204 |        25
     2442 |        25
     5532 |        25
     2014 |        28
     5510 |        28
       87 |        33
       88 |        34
     1092 |        34
       89 |        35
       93 |        37
       94 |        38
       95 |        39
       96 |        39
      446 |        39
      100 |        41
      906 |        41
     5170 |        41
     6288 |        41
     6291 |        41
      106 |        44
      107 |        45
      108 |        45
      109 |        45
      110 |        45
      111 |        46
     6393 |        46
      118 |        50
      138 |        55
      148 |        58
      150 |        58
      152 |        58
      154 |        58
      156 |        59
      160 |        61
      161 |        61
      162 |        61
      168 |        63
      171 |        64
      173 |        64
      177 |        66
      178 |        66
      179 |        66
      180 |        66
      181 |        66
      979 |        66
      185 |        67
      186 |        67
      189 |        69
      193 |        73
      194 |        73
      196 |        73
      197 |        74
      198 |        74
     1421 |        74
     1423 |        74
      199 |        75
      200 |        76
      201 |        76
      202 |        76
      203 |        76
      204 |        77
     2775 |        77
     4428 |        77
      207 |        78
      211 |        79
      212 |        80
      216 |        80
      218 |        80
      220 |        82
      222 |        82
     2125 |        82
     2126 |        82
      230 |        85
      234 |        85
      235 |        85
      239 |        89
     6152 |        92
        3 |        94
      246 |        94
      248 |        96
     4286 |        96
      163 |        98
      164 |        98
      254 |        99
      255 |        99
      256 |        99
     1794 |        99
      257 |       100
      263 |       103
      264 |       103
      265 |       103
      266 |       103
      267 |       103
      268 |       104
      269 |       104
     1849 |       104
      270 |       105
      272 |       107
      273 |       107
      274 |       107
     4115 |       107
      276 |       109
      278 |       110
      279 |       110
      280 |       110
      281 |       111
      530 |       111
     5240 |       111
      282 |       112
      283 |       112
      287 |       113
      288 |       114
      289 |       114
      313 |       114
     5331 |       114
      292 |       115
      900 |       115
     4314 |       115
     7272 |       115
      295 |       117
      305 |       118
      306 |       118
      309 |       121
      310 |       121
      312 |       121
      314 |       121
      316 |       122
      317 |       122
      318 |       122
     2821 |       124
     5112 |       124
     5113 |       124
     4538 |       125
      327 |       129
      328 |       129
      329 |       129
      330 |       129
      331 |       129
     5616 |       129
     6903 |       129
      437 |       130
      334 |       132
      335 |       132
      336 |       132
      337 |       132
      341 |       134
      343 |       134
      352 |       137
      362 |       141
      376 |       146
      378 |       148
      379 |       148
      390 |       149
      392 |       149
      394 |       150
      395 |       151
      397 |       153
      398 |       154
      399 |       154
      400 |       154
      404 |       157
      412 |       159
      113 |       162
      417 |       163
      420 |       165
      424 |       167
      448 |       172
      458 |       178
      459 |       179
      461 |       180
      462 |       181
      463 |       181
      464 |       182
      468 |       184
      475 |       188
      476 |       189
      477 |       189
     2102 |       189
      479 |       191
      561 |       193
      497 |       198
      498 |       198
      499 |       198
      500 |       198
      501 |       198
      502 |       199
      504 |       200
      505 |       201
      507 |       202
      510 |       204
      511 |       204
      513 |       204
     2392 |       205
     3712 |       205
     4796 |       205
      517 |       206
      520 |       208
      523 |       211
      529 |       214
      542 |       218
      543 |       218
      544 |       219
      548 |       219
      550 |       219
      554 |       219
      558 |       219
      564 |       220
     5777 |       223
      578 |       224
      579 |       225
      580 |       226
      582 |       226
      584 |       226
      585 |       227
      589 |       229
      592 |       229
      596 |       232
      605 |       235
      610 |       236
      611 |       236
      612 |       236
      622 |       241
      628 |       244
      632 |       245
      633 |       245
      637 |       247
      638 |       248
      639 |       248
      640 |       249
      643 |       251
      655 |       256
      658 |       258
      661 |       258
     4791 |       258
     5987 |       258
      674 |       262
      675 |       263
      676 |       263
      679 |       263
      680 |       264
      681 |       265
     1333 |       268
      690 |       272
      699 |       275
      987 |       275
     5905 |       275
     6412 |       275
      701 |       276
      702 |       276
     3295 |       276
     4797 |       276
      706 |       278
     3884 |       278
     5353 |       278
     5911 |       278
      711 |       283
      712 |       283
      713 |       283
      714 |       283
      715 |       283
      717 |       283
      721 |       283
      722 |       283
     5819 |       283
      724 |       284
      725 |       285
      727 |       287
      728 |       288
      731 |       288
     1258 |       288
     4982 |       288
      734 |       290
      739 |       290
     2902 |       290
      744 |       291
     6282 |       291
      748 |       295
      749 |       296
     1085 |       296
      764 |       303
      776 |       305
      777 |       306
      778 |       306
      779 |       307
      780 |       307
      781 |       307
      783 |       307
      784 |       308
      785 |       309
      786 |       310
      788 |       310
      792 |       311
      793 |       311
      796 |       311
      806 |       314
      811 |       317
      812 |       318
     7262 |       318
     4462 |       320
      818 |       322
      819 |       322
      834 |       325
      835 |       326
      836 |       326
      843 |       326
      846 |       326
      848 |       326
      850 |       326
      851 |       326
      852 |       327
      858 |       330
      864 |       331
      865 |       331
      866 |       331
      867 |       331
     1268 |       331
     5352 |       331
     5845 |       331
     5949 |       331
     7337 |       331
      871 |       333
      798 |       334
      872 |       334
     6877 |       334
      891 |       339
      892 |       340
      151 |       342
      895 |       342
      896 |       342
     3398 |       342
      902 |       343
       83 |       345
      912 |       345
     1891 |       345
     3153 |       345
     5006 |       345
     6133 |       345
     6140 |       345
      921 |       351
      922 |       351
      923 |       351
      924 |       351
     6253 |       351
     6255 |       351
     6105 |       353
      927 |       354
      928 |       354
      930 |       356
     3353 |       356
      947 |       362
     2648 |       362
      954 |       366
      957 |       366
      963 |       370
      964 |       371
      966 |       373
      967 |       374
      968 |       375
      969 |       376
      970 |       376
     4177 |       379
     5937 |       379
      261 |       380
      483 |       380
      975 |       380
      976 |       380
      977 |       380
      978 |       380
      980 |       380
      982 |       380
      993 |       386
     1008 |       393
     1011 |       394
     1015 |       396
     1016 |       397
     2400 |       398
     1023 |       401
     1025 |       401
     1026 |       402
     1027 |       403
     1028 |       404
     2535 |       404
     1030 |       406
     1031 |       406
     1033 |       407
     1034 |       407
     1035 |       407
     1036 |       407
     1037 |       408
     1038 |       409
     1054 |       417
     1055 |       417
     1086 |       432
     1900 |       432
     4890 |       432
     4891 |       432
     6646 |       432
      904 |       435
     1089 |       435
     1658 |       435
     6678 |       435
     1091 |       437
     7099 |       437
     1094 |       440
     1099 |       443
     1100 |       443
     5966 |       444
     1103 |       445
     1105 |       445
     2853 |       445
     3269 |       445
     3273 |       445
     4611 |       445
     5836 |       445
     1120 |       449
     2603 |       453
     1135 |       458
     1137 |       460
     1138 |       460
     7004 |       460
     1690 |       461
     4101 |       461
     1141 |       463
     1149 |       466
     2229 |       466
     2576 |       466
     4021 |       466
     1154 |       468
     1161 |       472
     2039 |       472
     1163 |       474
     1179 |       482
     1180 |       483
     1181 |       483
     2858 |       483
     3825 |       483
     1184 |       485
     1186 |       485
     1187 |       485
     1188 |       485
     6001 |       485
     1191 |       486
     1346 |       486
     2634 |       486
      934 |       488
      939 |       488
     1193 |       488
     1880 |       488
     1200 |       492
     1201 |       493
     1202 |       493
     1207 |       493
     1210 |       493
     1211 |       493
     1214 |       495
     2343 |       495
     1355 |       496
     1227 |       502
     1228 |       502
     1229 |       502
     1230 |       502
      634 |       505
     1236 |       507
     6163 |       507
     1239 |       509
     1240 |       509
       86 |       510
     1242 |       510
     1244 |       511
     1245 |       512
     2841 |       513
      627 |       518
      659 |       518
     1282 |       518
     1283 |       518
     1284 |       518
     1288 |       522
     1292 |       525
     1298 |       528
     1973 |       528
     4241 |       528
     1299 |       529
     1305 |       533
     1306 |       534
     1311 |       536
      541 |       538
     3149 |       538
     5936 |       538
     1316 |       539
     1317 |       539
     1325 |       541
     1685 |       541
     1687 |       541
     6527 |       541
     7201 |       541
     1329 |       543
     1331 |       544
     1332 |       545
      719 |       550
     1352 |       550
     2160 |       550
     3175 |       550
     3775 |       550
     1358 |       555
     1361 |       556
     1363 |       558
     1364 |       558
     2741 |       561
     2744 |       561
     3524 |       561
     3527 |       561
     3535 |       561
     7242 |       561
      408 |       563
      962 |       563
     1370 |       563
     1371 |       563
     1507 |       563
     2425 |       563
     3716 |       563
     5050 |       563
     1345 |       564
     1372 |       564
     1373 |       564
     3801 |       564
     7010 |       564
     1376 |       567
     1517 |       568
     3071 |       568
     3362 |       568
     5423 |       568
     5954 |       568
     1379 |       569
     1380 |       570
     1381 |       570
     1385 |       573
     1389 |       576
     1391 |       577
     1396 |       579
     1397 |       580
     3256 |       580
     1402 |       582
     3208 |       583
     4547 |       583
     1410 |       585
     3672 |       588
     1415 |       589
     4792 |       589
     5787 |       589
     1416 |       590
     1425 |       591
     4325 |       597
     1445 |       598
     1448 |       600
     1450 |       600
     1453 |       600
     1454 |       600
     1460 |       603
     1982 |       611
      438 |       612
     1471 |       612
     1473 |       612
     1474 |       612
     1476 |       612
     1477 |       613
     1487 |       617
     1488 |       618
     1490 |       618
     1492 |       618
     1496 |       618
     1501 |       618
     1516 |       624
     1527 |       626
      326 |       628
     1535 |       628
     1549 |       632
     2188 |       632
     4307 |       632
     6706 |       632
      205 |       640
     1335 |       640
     1521 |       640
     1562 |       640
     1563 |       640
     6283 |       640
     6293 |       640
     6906 |       640
     1571 |       645
     7074 |       645
     1575 |       647
     1576 |       647
     1577 |       647
     1578 |       647
     1580 |       648
     1582 |       648
     1583 |       648
     1585 |       648
     1586 |       648
      753 |       650
      840 |       650
     1435 |       650
     1593 |       650
     1594 |       650
     1595 |       650
     1596 |       650
     1598 |       650
     1599 |       650
     1600 |       650
     1601 |       650
     1940 |       650
     2857 |       650
     4218 |       650
     5065 |       650
     1604 |       652
     1605 |       652
     1606 |       653
     5842 |       653
     1615 |       659
     1616 |       659
     1618 |       659
     1620 |       659
     1622 |       659
     2266 |       660
     3065 |       660
     3192 |       660
     1627 |       663
     1635 |       666
     1636 |       666
     1637 |       667
     1638 |       668
     1640 |       668
     1752 |       668
     1878 |       668
     6767 |       668
     7154 |       668
     7654 |       668
     1642 |       669
     1644 |       669
     1645 |       669
     3133 |       669
     3648 |       669
     1647 |       670
     1649 |       672
     1650 |       672
     2455 |       672
     3586 |       672
     6083 |       672
     2322 |       677
     1661 |       678
     1662 |       679
     1666 |       679
     1667 |       679
     1753 |       679
     4901 |       679
     6817 |       679
     1669 |       681
     1672 |       682
     1260 |       683
     1673 |       683
     2378 |       683
     5421 |       683
     1684 |       686
     2614 |       686
     4391 |       686
     1624 |       688
     1692 |       689
     1693 |       689
     1694 |       690
     6243 |       690
     6244 |       690
     6245 |       690
     1703 |       694
     1704 |       695
     1705 |       695
     1707 |       697
     1710 |       700
     1711 |       700
     1718 |       702
     1736 |       705
     4281 |       705
     4843 |       705
     5587 |       705
     6213 |       705
     1737 |       706
     1743 |       709
     1744 |       709
     1745 |       709
     1749 |       711
     1751 |       712
     1754 |       713
     1755 |       713
     1756 |       713
     1757 |       714
     1758 |       714
     1760 |       714
     1763 |       717
     1765 |       719
     4432 |       719
     1766 |       720
     1767 |       720
     1771 |       723
     1773 |       725
      857 |       726
      859 |       726
     1480 |       726
     1774 |       726
     3877 |       726
     6218 |       726
     1810 |       733
     1812 |       734
     1815 |       737
     1827 |       742
     1828 |       742
     1834 |       743
     1835 |       743
     1837 |       743
     1839 |       745
     2785 |       745
     3522 |       745
     6317 |       745
     7232 |       745
     2086 |       746
     1841 |       747
     1842 |       747
     6630 |       747
     1843 |       748
     1844 |       748
     2654 |       748
     3756 |       748
     1867 |       758
     1869 |       760
     7265 |       760
     1872 |       761
     4142 |       762
     1886 |       767
     1887 |       767
     7019 |       767
     1890 |       768
     1892 |       770
     1893 |       770
     1896 |       772
     1898 |       773
     4624 |       773
     5953 |       773
     1899 |       774
     6540 |       774
     1902 |       776
     1903 |       777
     1907 |       779
      616 |       787
     1922 |       787
     3733 |       787
      766 |       789
     4801 |       789
     6837 |       789
     1927 |       791
      887 |       792
     1928 |       792
     3530 |       792
     7484 |       792
     1930 |       793
     1933 |       793
     5634 |       793
     1934 |       794
     1935 |       794
     1939 |       797
     1147 |       799
     1953 |       799
     1954 |       800
     1955 |       801
     1956 |       801
     1957 |       801
     1958 |       801
     1959 |       801
     1963 |       803
     1964 |       804
     1968 |       807
     1970 |       809
     1976 |       811
     1977 |       811
     1978 |       811
     1979 |       811
     1981 |       812
     1987 |       815
     1632 |       816
     1994 |       818
     1465 |       822
     6073 |       822
     2001 |       823
     2010 |       829
     2015 |       830
     4513 |       830
      575 |       831
     1993 |       831
     2017 |       831
     3306 |       832
     3309 |       832
     3310 |       832
     3311 |       832
     6405 |       832
     2047 |       845
     2048 |       846
     2049 |       846
     2050 |       847
     5774 |       848
     7667 |       848
     2053 |       849
     2054 |       850
     2055 |       850
     2057 |       851
     2058 |       851
     2059 |       851
     2062 |       853
     2073 |       861
     2074 |       862
     2075 |       862
     2076 |       862
     1936 |       863
     2077 |       863
     2078 |       863
     2088 |       870
     2089 |       870
     2090 |       870
     2091 |       870
     2093 |       870
     2094 |       870
     2120 |       877
      708 |       879
     2122 |       879
     2124 |       879
     2748 |       879
     2836 |       879
     5032 |       879
     5835 |       879
     6673 |       879
     2127 |       880
     2129 |       881
     2130 |       882
     2146 |       885
     6578 |       886
     2150 |       889
     2155 |       891
     2156 |       891
     2157 |       891
     2173 |       894
     2026 |       899
     2180 |       899
     6356 |       899
     6542 |       899
     6815 |       899
     7517 |       899
     2183 |       900
     1735 |       904
     5462 |       904
     6426 |       904
     6843 |       904
     2215 |       915
     2216 |       915
     6820 |       915
     2227 |       924
     2230 |       925
     2231 |       925
     2234 |       926
     2253 |       928
     2254 |       928
     1303 |       930
     1514 |       930
     2256 |       930
     3609 |       930
     6422 |       931
     2272 |       939
     2274 |       939
     2275 |       939
     2276 |       939
     2746 |       939
     5465 |       939
     2281 |       941
     2282 |       941
     3505 |       941
     2295 |       948
     2296 |       948
     2297 |       948
     2298 |       948
     2301 |       949
     2307 |       951
     2309 |       952
     1865 |       953
     2813 |       955
     2313 |       956
     2315 |       957
     2319 |       959
     2329 |       964
     2331 |       965
     2334 |       965
     2335 |       965
     2336 |       965
     7649 |       965
     2344 |       969
     2346 |       969
     2347 |       969
      839 |       971
     2351 |       971
     2352 |       971
     3659 |       971
     4548 |       971
     4710 |       971
     4714 |       971
     2354 |       973
     2357 |       975
     2358 |       975
     2359 |       975
     4679 |       975
     6279 |       975
     2368 |       978
     2370 |       978
     2371 |       978
     2372 |       978
     2373 |       978
     1238 |       979
     2374 |       979
     6876 |       979
     2386 |       985
     2395 |       988
     1047 |       989
     2412 |       997
     2413 |       997
     2414 |       997
     2415 |       998
     2417 |       998
     2418 |       998
     2420 |       998
     2421 |       998
     2422 |       999
     2423 |       999
     2955 |       999
     2956 |       999
     2957 |       999
     2426 |      1000
     7078 |      1000
     2437 |      1005
     2438 |      1006
     2462 |      1015
     4562 |      1015
     7165 |      1016
     2466 |      1017
     2467 |      1017
